Waf: Entering directory `/home/kentux/git/ns-3-dev-git/build'
Waf: Leaving directory `/home/kentux/git/ns-3-dev-git/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.071s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0       1       19      	0.258	3.53615   
0       1       20      	0.3  	4.06955   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00447555  	93.568       	0.363659   	12.982    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.258	3.34872   
0       1       2       	0.54 	7.02531   
0       1       3       	0.604	7.85009   
0       1       4       	0.826	10.7535   
0       1       5       	0.776	10.1118   
0       1       6       	0.964	12.5136   
0       1       7       	0.726	9.42848   
0       1       8       	0.202	2.64449   
0       1       9       	0.118	1.56723   
0       1       10      	0.95 	12.3626   
0       1       11      	0.152	2.0155    
0       1       12      	0.962	12.5126   
0       1       13      	0.118	1.52179   
0       1       14      	0.74 	9.57881   
0       1       15      	0.958	12.4516   
0       1       16      	0.956	12.4378   
0       1       17      	0.668	8.60515   
0       1       18      	0.718	9.2638    
0       1       19      	0.952	12.4261   
0       1       20      	0.942	12.263    
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00397046  	86.7795      	0.439675   	14.6733   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.914	13.4107   
0       1       2       	0.87 	12.7817   
0       1       3       	0.542	7.94573   
0       1       4       	0.108	1.58404   
0       1       5       	0.16 	2.37254   
0       1       6       	0.124	1.834     
0       1       7       	0.93 	13.665    
0       1       8       	0.77 	11.315    
0       1       9       	0.614	9.07268   
0       1       10      	0.954	14.0029   
0       1       11      	0.896	13.1116   
0       1       12      	0.548	8.07253   
0       1       13      	0.922	13.5305   
0       1       14      	0.924	13.5444   
0       1       15      	0.674	9.8425    
0       1       16      	0.842	12.3705   
0       1       17      	0.964	14.103    
0       1       18      	0.88 	12.9053   
0       1       19      	0.926	13.5929   
0       1       20      	0.476	7.09398   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00396939  	86.791       	0.440251   	14.651    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.674	9.84578   
0       1       2       	0.938	13.7435   
0       1       3       	0.06 	0.869089  
0       1       4       	0.466	6.85545   
0       1       5       	0.078	1.18536   
0       1       6       	0.944	13.8697   
0       1       7       	0.124	1.82609   
0       1       8       	0.398	5.83884   
0       1       9       	0.132	1.95398   
0       1       10      	0.448	6.59832   
0       1       11      	0.896	13.1379   
0       1       12      	0.962	14.0936   
0       1       13      	0.846	12.3906   
0       1       14      	0.826	12.1613   
0       1       15      	0.128	1.86425   
0       1       16      	0.064	0.920743  
0       1       17      	0.944	13.8466   
0       1       18      	0.938	13.7817   
0       1       19      	0.282	4.08343   
0       1       20      	0.8  	11.7379   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408101  	88.9929      	0.423049   	14.2415   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.456	6.52691   
0       1       2       	0.108	1.51255   
0       1       3       	0.514	7.3688    
0       1       4       	0.69 	9.85181   
0       1       5       	0.948	13.5445   
0       1       6       	0.58 	8.27357   
0       1       7       	0.748	10.6324   
0       1       8       	0.958	13.6477   
0       1       9       	0.082	1.22875   
0       1       10      	0.928	13.2528   
0       1       11      	0.084	1.1856    
0       1       12      	0.938	13.3713   
0       1       13      	1    	14.2635   
0       1       14      	0.456	6.50962   
0       1       15      	0.06 	0.884925  
0       1       16      	0.924	13.1602   
0       1       17      	0.962	13.7206   
0       1       18      	0.8  	11.3613   
0       1       19      	0.89 	12.6693   
0       1       20      	0.158	2.22811   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386627  	83.7983      	0.467231   	15.0434   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.176	2.67593   
0       1       2       	0.948	14.2942   
0       1       3       	0.098	1.50406   
0       1       4       	0.942	14.1994   
0       1       5       	0.482	7.37197   
0       1       6       	0.372	5.4946    
0       1       7       	0.794	11.9767   
0       1       8       	0.932	14.0626   
0       1       9       	0.728	10.9309   
0       1       10      	0.752	11.3356   
0       1       11      	0.476	7.15273   
0       1       12      	0.478	7.29085   
0       1       13      	0.93 	14.0254   
0       1       14      	0.93 	14.0084   
0       1       15      	0.082	1.19273   
0       1       16      	0.772	11.6309   
0       1       17      	0.942	14.1595   
0       1       18      	0.564	8.49828   
0       1       19      	0.344	5.18159   
0       1       20      	0.078	1.18472   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00396911  	86.7757      	0.438825   	14.6411   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.152	2.29358   
0       1       2       	0.938	13.7552   
0       1       3       	0.158	2.30962   
0       1       4       	0.202	2.93711   
0       1       5       	0.064	0.926166  
0       1       6       	0.132	1.91415   
0       1       7       	0.942	13.8295   
0       1       8       	0.052	0.761944  
0       1       9       	0.736	10.7137   
0       1       10      	0.964	14.1265   
0       1       11      	0.936	13.7684   
0       1       12      	0.084	1.18972   
0       1       13      	0.16 	2.324     
0       1       14      	0.782	11.4966   
0       1       15      	0.268	3.90007   
0       1       16      	0.922	13.5531   
0       1       17      	0.614	9.02744   
0       1       18      	0.944	13.8401   
0       1       19      	0.59 	8.58404   
0       1       20      	0.514	7.57351   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408156  	88.9749      	0.420915   	14.2707   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.268	3.82567   
0       1       2       	0.854	12.1926   
0       1       3       	0.202	2.89751   
0       1       4       	0.152	2.16492   
0       1       5       	0.668	9.55091   
0       1       6       	0.592	8.50621   
0       1       7       	0.79 	11.2721   
0       1       8       	0.94 	13.4356   
0       1       9       	0.938	13.4029   
0       1       10      	0.69 	9.88458   
0       1       11      	0.954	13.6126   
0       1       12      	0.846	12.061    
0       1       13      	0.942	13.4378   
0       1       14      	0.924	13.2024   
0       1       15      	0.936	13.3567   
0       1       16      	0.846	12.0704   
0       1       17      	0.654	9.34254   
0       1       18      	0.466	6.6522    
0       1       19      	0.048	0.683945  
0       1       20      	0.156	2.2056    
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
