Waf: Entering directory `/opt/workspace/ns-3-dev/build'
Waf: Leaving directory `/opt/workspace/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.017s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0       1       10      	0.678	9.92401   
0       1       11      	0.476	6.95247   
0       1       12      	0.05 	0.704102  
0       1       13      	0.828	12.1371   
0       1       14      	0.478	7.0742    
0       1       15      	0.682	9.99958   
0       1       16      	0.93 	13.6598   
0       1       17      	0.794	11.5718   
0       1       18      	0.078	1.12352   
0       1       19      	0.69 	10.1409   
0       1       20      	0.368	5.35372   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00395915  	86.7591      	0.438218   	14.6708   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.776	11.4437   
0       1       2       	0.098	1.41518   
0       1       3       	0.954	13.9832   
0       1       4       	0.772	11.3679   
0       1       5       	0.862	12.627    
0       1       6       	0.958	14.1085   
0       1       7       	0.456	6.73391   
0       1       8       	0.95 	13.9815   
0       1       9       	0.956	14.0698   
0       1       10      	0.922	13.5704   
0       1       11      	0.972	14.2686   
0       1       12      	0.938	13.7377   
0       1       13      	0.954	14.0174   
0       1       14      	0.668	9.80621   
0       1       15      	0.944	13.9287   
0       1       16      	0.322	4.79292   
0       1       17      	0.078	1.09822   
0       1       18      	0.866	12.7065   
0       1       19      	0.828	12.1021   
0       1       20      	0.736	10.7974   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408706  	89.0137      	0.420889   	14.2486   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.064	0.928866  
0       1       2       	0.944	13.4411   
0       1       3       	0.068	0.959639  
0       1       4       	0.052	0.732385  
0       1       5       	0.514	7.28253   
0       1       6       	0.368	5.19763   
0       1       7       	0.118	1.632     
0       1       8       	0.516	7.38912   
0       1       9       	0.938	13.3528   
0       1       10      	0.914	13.0381   
0       1       11      	0.95 	13.5596   
0       1       12      	0.954	13.6073   
0       1       13      	0.124	1.71557   
0       1       14      	0.952	13.5537   
0       1       15      	0.928	13.2608   
0       1       16      	0.87 	12.4155   
0       1       17      	0.478	6.81316   
0       1       18      	0.476	6.87348   
0       1       19      	0.952	13.5773   
0       1       20      	0.548	7.72629   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386644  	83.8043      	0.467231   	15.0428   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.938	14.1373   
0       1       2       	0.938	14.1245   
0       1       3       	0.948	14.2938   
0       1       4       	0.83 	12.4883   
0       1       5       	0.884	13.281    
0       1       6       	0.954	14.4017   
0       1       7       	0.922	13.833    
0       1       8       	0.282	4.33503   
0       1       9       	0.686	10.4006   
0       1       10      	0.674	10.2271   
0       1       11      	0.054	0.823956  
0       1       12      	0.954	14.3826   
0       1       13      	0.726	10.8788   
0       1       14      	0.156	2.37552   
0       1       15      	0.476	7.11454   
0       1       16      	0.938	14.1477   
0       1       17      	0.354	5.35126   
0       1       18      	0.94 	14.1731   
0       1       19      	0.92 	13.7958   
0       1       20      	0.93 	14.0228   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00397047  	86.7858      	0.438858   	14.6388   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.3  	4.37192   
0       1       2       	0.962	14.1356   
0       1       3       	0.948	13.9059   
0       1       4       	0.662	9.73499   
0       1       5       	0.22 	3.23786   
0       1       6       	0.448	6.53972   
0       1       7       	0.936	13.7388   
0       1       8       	0.232	3.36827   
0       1       9       	0.928	13.6457   
0       1       10      	0.94 	13.7557   
0       1       11      	0.06 	0.895862  
0       1       12      	0.998	14.6399   
0       1       13      	0.958	14.0546   
0       1       14      	0.476	6.99261   
0       1       15      	0.476	6.95158   
0       1       16      	0.83 	12.1842   
0       1       17      	0.682	9.96353   
0       1       18      	0.686	10.0902   
0       1       19      	0.368	5.42103   
0       1       20      	0.952	13.9474   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408163  	88.9714      	0.420917   	14.2707   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.476	6.83952   
0       1       2       	0.956	13.6486   
0       1       3       	0.376	5.39255   
0       1       4       	0.946	13.4872   
0       1       5       	0.952	13.5734   
0       1       6       	0.532	7.65395   
0       1       7       	0.894	12.7656   
