Waf: Entering directory `/home/kentux/git/ns-3-dev-git/build'
Waf: Leaving directory `/home/kentux/git/ns-3-dev-git/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.063s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0       1       11      	0.842	11.9901   
0       1       12      	0.958	13.671    
0       1       13      	0.282	4.00284   
0       1       14      	0.082	1.20192   
0       1       15      	0.336	4.76631   
0       1       16      	0.95 	13.5417   
0       1       17      	0.258	3.63106   
0       1       18      	0.776	11.1042   
0       1       19      	0.354	5.03368   
0       1       20      	0.96 	13.6617   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386597  	83.7922      	0.467231   	15.0452   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.938	14.1459   
0       1       2       	0.662	9.98494   
0       1       3       	0.954	14.376    
0       1       4       	0.922	13.881    
0       1       5       	0.132	1.9915    
0       1       6       	0.456	6.88716   
0       1       7       	0.906	13.6315   
0       1       8       	0.932	14.033    
0       1       9       	0.456	6.93329   
0       1       10      	0.782	11.8387   
0       1       11      	0.124	1.87941   
0       1       12      	0.87 	13.0839   
0       1       13      	0.074	1.099     
0       1       14      	0.95 	14.3277   
0       1       15      	0.776	11.6674   
0       1       16      	0.896	13.4637   
0       1       17      	0.89 	13.4619   
0       1       18      	0.072	1.09896   
0       1       19      	0.592	8.92036   
0       1       20      	0.894	13.5344   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00397083  	86.7858      	0.438858   	14.637    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.826	12.1529   
0       1       2       	0.686	10.0526   
0       1       3       	0.896	13.1482   
0       1       4       	0.748	11.011    
0       1       5       	0.906	13.2468   
0       1       6       	0.728	10.703    
0       1       7       	0.922	13.5121   
0       1       8       	0.38 	5.59893   
0       1       9       	0.078	1.19152   
0       1       10      	0.514	7.58181   
0       1       11      	0.296	4.30783   
0       1       12      	0.942	13.8005   
0       1       13      	0.268	3.90053   
0       1       14      	0.93 	13.665    
0       1       15      	0.914	13.3813   
0       1       16      	0.466	6.85231   
0       1       17      	0.916	13.4297   
0       1       18      	0.124	1.80573   
0       1       19      	0.938	13.7492   
0       1       20      	0.676	9.88041   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00407795  	88.9645      	0.421348   	14.2675   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.082	1.17384   
0       1       2       	0.938	13.4067   
0       1       3       	0.132	1.86597   
0       1       4       	0.476	6.83445   
0       1       5       	0.954	13.6564   
0       1       6       	0.108	1.52841   
0       1       7       	0.482	6.80905   
0       1       8       	0.69 	9.85778   
0       1       9       	0.906	12.9262   
0       1       10      	0.958	13.6772   
0       1       11      	0.93 	13.3011   
0       1       12      	0.69 	9.88425   
0       1       13      	0.15 	2.14581   
0       1       14      	0.944	13.4571   
0       1       15      	0.178	2.58392   
0       1       16      	0.944	13.475    
0       1       17      	0.58 	8.29525   
0       1       18      	0.948	13.5496   
0       1       19      	0.912	13.0337   
0       1       20      	0.622	8.91689   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00476497  	95.2322      	0.330831   	12.1829   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.202	2.44176   
0       1       2       	0.054	0.67741   
0       1       3       	0.158	1.89696   
0       1       4       	0.932	11.3613   
0       1       5       	0.846	10.2943   
0       1       6       	0.064	0.763485  
0       1       7       	0.83 	10.1187   
0       1       8       	0.15 	1.83774   
0       1       9       	0.54 	6.60383   
0       1       10      	0.592	7.25431   
0       1       11      	0.944	11.5549   
0       1       12      	0.396	4.78293   
0       1       13      	0.948	11.5953   
0       1       14      	0.912	11.1994   
0       1       15      	0.258	3.18538   
0       1       16      	0.064	0.799428  
0       1       17      	0.856	10.4773   
0       1       18      	0.88 	10.7078   
0       1       19      	0.956	11.6687   
0       1       20      	0.954	11.6359   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00378656  	79.3297      	0.500034   	15.427    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.94 	14.5057   
0       1       2       	0.158	2.41086   
0       1       3       	0.154	2.34516   
0       1       4       	0.108	1.66221   
0       1       5       	0.206	3.23357   
0       1       6       	0.128	1.94705   
0       1       7       	0.258	4.02956   
0       1       8       	0.37 	5.72072   
0       1       9       	0.514	7.87362   
0       1       10      	0.826	12.7027   
0       1       11      	0.938	14.4885   
0       1       12      	0.928	14.277    
0       1       13      	0.068	1.02274   
0       1       14      	0.154	2.34593   
0       1       15      	0.662	10.2088   
0       1       16      	0.728	11.2376   
0       1       17      	0.772	11.9032   
0       1       18      	0.954	14.7369   
0       1       19      	0.282	4.32841   
0       1       20      	0.478	7.28583   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00388802  	83.8175      	0.464798   	15.0215   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.064	0.94192   
0       1       2       	0.476	7.14022   
0       1       3       	0.894	13.3575   
0       1       4       	0.952	14.2764   
0       1       5       	0.96 	14.4484   
0       1       6       	0.954	14.2908   
0       1       7       	0.6  	9.02134   
0       1       8       	0.948	14.1993   
0       1       9       	0.068	1.05003   
0       1       10      	0.914	13.7637   
0       1       11      	0.96 	14.3958   
0       1       12      	0.83 	12.5333   
0       1       13      	0.466	6.97249   
0       1       14      	0.914	13.6919   
0       1       15      	0.258	3.77822   
0       1       16      	0.132	1.91959   
0       1       17      	0.54 	8.04864   
0       1       18      	0.826	12.4527   
0       1       19      	0.826	12.3459   
0       1       20      	0.67 	10.0906   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408424  	88.9627      	0.420396   	14.267    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.94 	13.3876   
0       1       2       	0.87 	12.4134   
0       1       3       	0.06 	0.871642  
0       1       4       	0.986	14.0425   
0       1       5       	0.956	13.639    
0       1       6       	0.826	11.8121   
0       1       7       	0.118	1.69489   
0       1       8       	0.954	13.6192   
0       1       9       	0.174	2.4415    
0       1       10      	0.58 	8.2187    
0       1       11      	0.826	11.8092   
0       1       12      	0.482	6.76363   
0       1       13      	0.922	13.1519   
0       1       14      	0.592	8.49196   
0       1       15      	0.54 	7.64065   
0       1       16      	0.772	11.0047   
0       1       17      	0.394	5.68094   
0       1       18      	0.922	13.1225   
0       1       19      	0.942	13.446    
0       1       20      	0.8  	11.3901   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0039075   	83.8861      	0.462702   	15.0549   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.718	10.7159   
0       1       2       	0.212	3.20495   
0       1       3       	0.336	5.01997   
0       1       4       	0.18 	2.67576   
0       1       5       	0.15 	2.25207   
0       1       6       	0.952	14.2088   
0       1       7       	0.932	13.8797   
0       1       8       	0.952	14.2575   
0       1       9       	0.67 	9.92447   
0       1       10      	0.928	13.9117   
0       1       11      	0.896	13.3831   
0       1       12      	0.346	5.14763   
0       1       13      	0.932	13.9285   
0       1       14      	0.336	4.94441   
0       1       15      	0.58 	8.72074   
0       1       16      	0.828	12.3461   
0       1       17      	1    	15.0255   
0       1       18      	0.226	3.39972   
0       1       19      	0.772	11.4932   
0       1       20      	0.96 	14.3605   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00436898  	92.7472      	0.373393   	13.3101   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.776	10.3052   
0       1       2       	0.15 	2.00452   
0       1       3       	0.826	11.059    
0       1       4       	0.268	3.65235   
0       1       5       	0.226	3.06732   
0       1       6       	0.944	12.5796   
0       1       7       	0.928	12.3656   
0       1       8       	0.956	12.7341   
0       1       9       	0.54 	7.13912   
0       1       10      	0.466	6.20742   
0       1       11      	0.896	12.0112   
0       1       12      	0.662	8.79813   
0       1       13      	0.8  	10.7408   
0       1       14      	0.69 	9.16583   
0       1       15      	0.052	0.677591  
0       1       16      	0.476	6.31177   
0       1       17      	0.06 	0.802621  
0       1       18      	0.962	12.8275   
0       1       19      	0.564	7.52119   
0       1       20      	0.938	12.4985   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00428604  	91.8153      	0.389365   	13.5548   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.96 	13.0134   
0       1       2       	0.156	2.05675   
0       1       3       	0.174	2.35498   
0       1       4       	0.866	11.7601   
0       1       5       	0.456	6.22409   
0       1       6       	0.912	12.3996   
0       1       7       	0.456	6.15136   
0       1       8       	1    	13.5961   
0       1       9       	0.894	12.14     
0       1       10      	0.938	12.7405   
0       1       11      	0.896	12.187    
0       1       12      	0.938	12.7292   
0       1       13      	0.476	6.58666   
0       1       14      	0.3  	4.07878   
0       1       15      	0.906	12.2694   
0       1       16      	0.944	12.8473   
0       1       17      	0.96 	13.0278   
0       1       18      	0.948	12.8996   
0       1       19      	0.956	12.9984   
0       1       20      	0.958	13.0379   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00418283  	90.5807      	0.405852   	13.9046   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.06 	0.858324  
0       1       2       	0.736	10.2867   
0       1       3       	0.826	11.4839   
0       1       4       	0.948	13.2045   
0       1       5       	0.466	6.46001   
0       1       6       	0.954	13.3126   
0       1       7       	1    	13.9262   
0       1       8       	0.944	13.1433   
0       1       9       	0.564	7.77612   
0       1       10      	0.082	1.09156   
0       1       11      	0.906	12.5734   
0       1       12      	0.118	1.6555    
0       1       13      	0.772	10.7544   
0       1       14      	0.676	9.43274   
0       1       15      	0.846	11.7487   
0       1       16      	0.078	1.0885    
0       1       17      	0.16 	2.23607   
0       1       18      	0.998	13.8992   
0       1       19      	0.972	13.5237   
0       1       20      	0.736	10.2895   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386107  	83.7296      	0.466787   	15.0604   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.942	14.2493   
0       1       2       	0.5  	7.53951   
0       1       3       	0.954	14.3764   
0       1       4       	0.958	14.4495   
0       1       5       	0.958	14.4145   
0       1       6       	0.062	0.939018  
0       1       7       	0.914	13.7918   
0       1       8       	0.772	11.5725   
0       1       9       	0.96 	14.4744   
0       1       10      	0.954	14.409    
0       1       11      	0.124	1.87755   
